Layer,Code,Name,Parent Account,Type,active,pending,state
Layer 3,111,Capital,Capital & Reserve,View Type,True,False,approve
Layer 3,112,Reserve,Capital & Reserve,View Type,True,False,approve
Layer 3,121,Borrowings under Bangladesh Bank,Borrowings,View Type,True,False,approve
Layer 3,122,Borrowings from other Banks,Borrowings,View Type,True,False,approve
Layer 3,123,Borrowings from other Institutions,Borrowings,View Type,True,False,approve
Layer 3,125,Interest Payable on Borrowings,Borrowings,View Type,True,False,approve
Layer 3,131,Customer Deposits -Current & Others,Deposits,View Type,True,False,approve
Layer 3,132,"Customer Deposits -SB, FD, RD, SND etc.",Deposits,View Type,True,False,approve
Layer 3,133,Bank & NBFI Deposits -Current & Others,Deposits,View Type,True,False,approve
Layer 3,134,Bank & NBFI Deposits -FD & Others,Deposits,View Type,True,False,approve
Layer 3,135,IP on Customer Deposits -Current & Others,Deposits,View Type,True,False,approve
Layer 3,136,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",Deposits,View Type,True,False,approve
Layer 3,137,Interest Payable on Bank & NBFI Deposits,Deposits,View Type,True,False,approve
Layer 3,138,Customer Deposits -Bills Payable,Deposits,View Type,True,False,approve
Layer 3,141,Subordinated Bond,Bond,View Type,True,False,approve
Layer 3,142,Other Bond,Bond,View Type,True,False,approve
Layer 3,151,Interest Suspenses Account ,Other Liabilities,View Type,True,False,approve
Layer 3,152,Other misc. liabilities,Other Liabilities,View Type,True,False,approve
Layer 3,153,Provision,Other Liabilities,View Type,True,False,approve
Layer 3,154,Accumulated Depreciation,Other Liabilities,View Type,True,False,approve
Layer 3,211,Cash,Cash & Bank Balance,View Type,True,False,approve
Layer 3,212,Balance with Bangladesh Bank,Cash & Bank Balance,View Type,True,False,approve
Layer 3,213,Balance with Agent Bank,Cash & Bank Balance,View Type,True,False,approve
Layer 3,214,Balance with other banks and Fis,Cash & Bank Balance,View Type,True,False,approve
Layer 3,231,Government,Investments,View Type,True,False,approve
Layer 3,232,Other Investments,Investments,View Type,True,False,approve
Layer 3,233,Inv in Subsidiaries,Investments,View Type,True,False,approve
Layer 3,241,Term Loans,Loans & Advances,View Type,True,False,approve
Layer 3,242,Demand Loans,Loans & Advances,View Type,True,False,approve
Layer 3,243,Continuous Loans,Loans & Advances,View Type,True,False,approve
Layer 3,244,Credit Cards,Loans & Advances,View Type,True,False,approve
Layer 3,245,Interest Receivable,Loans & Advances,View Type,True,False,approve
Layer 3,246,Penal Interest Receivables,Loans & Advances,View Type,True,False,approve
Layer 3,247,OBU Loans & Advances,Loans & Advances,View Type,True,False,approve
Layer 3,248,Other Loans & Assets,Loans & Advances,View Type,True,False,approve
Layer 3,251,Tangible Fixed Assets,Fixed Assets,View Type,True,False,approve
Layer 3,252,Intangible Assets,Fixed Assets,View Type,True,False,approve
Layer 3,261,Adjustment Account,Other Assets,View Type,True,False,approve
Layer 3,262,Advances,Other Assets,View Type,True,False,approve
Layer 3,265,Receivable from Subsidiaries,Other Assets,View Type,True,False,approve
Layer 3,266,Suspense Account,Other Assets,View Type,True,False,approve
Layer 3,267,Receivable from OBU,Other Assets,View Type,True,False,approve
Layer 3,268,Miscellaneous Other Assets,Other Assets,View Type,True,False,approve
Layer 3,311,Interest Earned,Interest Income,View Type,True,False,approve
Layer 3,312,Penal Interest Earned,Interest Income,View Type,True,False,approve
Layer 3,313,Interest on MTB Branch Account,Interest Income,View Type,True,False,approve
Layer 3,314, Income on Money Market/ Placements,Interest Income,View Type,True,False,approve
Layer 3,321,Income fm Govt Securities,Income fm Investments,View Type,True,False,approve
Layer 3,322,Income from Other Investments,Income fm Investments,View Type,True,False,approve
Layer 3,331,Commission,"Comm, Exch & Brokerage",View Type,True,False,approve
Layer 3,332,Exchange,"Comm, Exch & Brokerage",View Type,True,False,approve
Layer 3,333,Brokerage,"Comm, Exch & Brokerage",View Type,True,False,approve
Layer 3,411,Interest Expenses on Customer Accounts <CASA>,Interest Expenses,View Type,True,False,approve
Layer 3,412,Interest Expenses on Customer Accounts <Term Deposits>,Interest Expenses,View Type,True,False,approve
Layer 3,413,Interest Expenses on Borrowings,Interest Expenses,View Type,True,False,approve
Layer 3,414,Interest Expenses on Bonds,Interest Expenses,View Type,True,False,approve
Layer 3,415,Interest Expense on Others,Interest Expenses,View Type,True,False,approve
Layer 3,416,Interest Expense on Branch A/C,Interest Expenses,View Type,True,False,approve
Layer 3,421,Salary & Allowances,Non-Interest Expenses,View Type,True,False,approve
Layer 3,422,"Rent, Taxes, Insurance, Electricity etc.",Non-Interest Expenses,View Type,True,False,approve
Layer 3,423,Other Expenses,Non-Interest Expenses,View Type,True,False,approve
Layer 3,424,Depreciation & Repair & Maintenance of Assets,Non-Interest Expenses,View Type,True,False,approve
Layer 3,425,"Postage, Stamps and Telecommunication etc.",Non-Interest Expenses,View Type,True,False,approve
Layer 3,426,Legal Expenses,Non-Interest Expenses,View Type,True,False,approve
Layer 3,427,"Stationery, Printing and Advertisements etc.",Non-Interest Expenses,View Type,True,False,approve
Layer 3,428,Director's Expenses,Non-Interest Expenses,View Type,True,False,approve
Layer 3,429,Managing Director's Remuneration,Non-Interest Expenses,View Type,True,False,approve
Layer 3,431,Provision for Loans,Provisions,View Type,True,False,approve
Layer 3,432,Provision for diminution in value of Invsetments,Provisions,View Type,True,False,approve
Layer 3,433,Other Provisions,Provisions,View Type,True,False,approve
